"nocturnal","elephant_zone","camera_id","species","diurnal"
FALSE,FALSE,"Site 5","Impala",TRUE
FALSE,FALSE,"Site 5","Impala",TRUE
FALSE,FALSE,"Site 5","Impala",TRUE
FALSE,FALSE,"Site 6","Impala",TRUE
FALSE,FALSE,"Site 6","Impala",TRUE
FALSE,FALSE,"Site 6","Impala",TRUE
FALSE,FALSE,"Site 6","Impala",TRUE
FALSE,FALSE,"Site 6","Impala",TRUE
FALSE,FALSE,"Site 6","Impala",TRUE
TRUE,FALSE,"Site 6","Impala",FALSE
TRUE,FALSE,"Site 6","Impala",FALSE
TRUE,FALSE,"Site 6","Impala",FALSE
FALSE,FALSE,"Site 6","Impala",TRUE
TRUE,FALSE,"Site 8","Impala",FALSE
FALSE,FALSE,"Site 8","Impala",TRUE
TRUE,FALSE,"Site 8","Impala",FALSE
FALSE,FALSE,"Site 8","Impala",TRUE
TRUE,FALSE,"Site 8","Impala",FALSE
FALSE,FALSE,"Site 9","Impala",TRUE
FALSE,FALSE,"Site 9","Impala",TRUE
FALSE,TRUE,"Site 11","Kirk's dik-dik",TRUE
FALSE,TRUE,"Site 11","Kirk's dik-dik",TRUE
FALSE,TRUE,"Site 11","Kirk's dik-dik",TRUE
FALSE,TRUE,"Site 11","Kirk's dik-dik",TRUE
TRUE,TRUE,"Site 11","Kirk's dik-dik",FALSE
FALSE,TRUE,"Site 11","Kirk's dik-dik",TRUE
FALSE,TRUE,"Site 11","Kirk's dik-dik",TRUE
FALSE,TRUE,"Site 11","Kirk's dik-dik",TRUE
TRUE,TRUE,"Site 11","Kirk's dik-dik",FALSE
FALSE,TRUE,"Site 11","Kirk's dik-dik",TRUE
FALSE,TRUE,"Site 11","Kirk's dik-dik",TRUE
FALSE,TRUE,"Site 11","Kirk's dik-dik",TRUE
FALSE,TRUE,"Site 11","Kirk's dik-dik",TRUE
FALSE,TRUE,"Site 11","Kirk's dik-dik",TRUE
FALSE,TRUE,"Site 11","Kirk's dik-dik",TRUE
FALSE,TRUE,"Site 11","Kirk's dik-dik",TRUE
TRUE,TRUE,"Site 11","Kirk's dik-dik",FALSE
FALSE,TRUE,"Site 11","Kirk's dik-dik",TRUE
TRUE,TRUE,"Site 11","Kirk's dik-dik",FALSE
TRUE,TRUE,"Site 11","Kirk's dik-dik",FALSE
FALSE,TRUE,"Site 11","Kirk's dik-dik",TRUE
TRUE,TRUE,"Site 11","Kirk's dik-dik",FALSE
TRUE,TRUE,"Site 11","Kirk's dik-dik",FALSE
FALSE,TRUE,"Site 11","Kirk's dik-dik",TRUE
FALSE,TRUE,"Site 11","Kirk's dik-dik",TRUE
FALSE,TRUE,"Site 11","Kirk's dik-dik",TRUE
FALSE,TRUE,"Site 11","Kirk's dik-dik",TRUE
FALSE,TRUE,"Site 11","Kirk's dik-dik",TRUE
FALSE,TRUE,"Site 12","Kirk's dik-dik",TRUE
FALSE,TRUE,"Site 12","Kirk's dik-dik",TRUE
FALSE,TRUE,"Site 12","Kirk's dik-dik",TRUE
TRUE,TRUE,"Site 12","Kirk's dik-dik",FALSE
FALSE,TRUE,"Site 12","Kirk's dik-dik",TRUE
FALSE,TRUE,"Site 12","Kirk's dik-dik",TRUE
FALSE,TRUE,"Site 12","Kirk's dik-dik",TRUE
FALSE,TRUE,"Site 12","Kirk's dik-dik",TRUE
TRUE,TRUE,"Site 12","Kirk's dik-dik",FALSE
FALSE,TRUE,"Site 12","Kirk's dik-dik",TRUE
TRUE,TRUE,"Site 12","Kirk's dik-dik",FALSE
TRUE,TRUE,"Site 12","Kirk's dik-dik",FALSE
TRUE,TRUE,"Site 12","Kirk's dik-dik",FALSE
TRUE,TRUE,"Site 12","Kirk's dik-dik",FALSE
TRUE,TRUE,"Site 12","Kirk's dik-dik",FALSE
TRUE,TRUE,"Site 12","Kirk's dik-dik",FALSE
TRUE,TRUE,"Site 12","Kirk's dik-dik",FALSE
TRUE,TRUE,"Site 12","Kirk's dik-dik",FALSE
TRUE,TRUE,"Site 12","Kirk's dik-dik",FALSE
TRUE,TRUE,"Site 12","Kirk's dik-dik",FALSE
FALSE,TRUE,"Site 12","Kirk's dik-dik",TRUE
TRUE,TRUE,"Site 12","Kirk's dik-dik",FALSE
TRUE,TRUE,"Site 12","Kirk's dik-dik",FALSE
TRUE,TRUE,"Site 12","Kirk's dik-dik",FALSE
FALSE,TRUE,"Site 12","Kirk's dik-dik",TRUE
FALSE,TRUE,"Site 12","Kirk's dik-dik",TRUE
FALSE,TRUE,"Site 12","Kirk's dik-dik",TRUE
FALSE,TRUE,"Site 12","Kirk's dik-dik",TRUE
FALSE,TRUE,"Site 12","Kirk's dik-dik",TRUE
FALSE,TRUE,"Site 12","Kirk's dik-dik",TRUE
FALSE,TRUE,"Site 12","Kirk's dik-dik",TRUE
FALSE,TRUE,"Site 12","Kirk's dik-dik",TRUE
TRUE,TRUE,"Site 12","Kirk's dik-dik",FALSE
TRUE,TRUE,"Site 12","Kirk's dik-dik",FALSE
FALSE,TRUE,"Site 12","Kirk's dik-dik",TRUE
FALSE,TRUE,"Site 12","Kirk's dik-dik",TRUE
FALSE,TRUE,"Site 12","Kirk's dik-dik",TRUE
FALSE,TRUE,"Site 12","Kirk's dik-dik",TRUE
FALSE,FALSE,"Site 13","Kirk's dik-dik",TRUE
FALSE,FALSE,"Site 13","Kirk's dik-dik",TRUE
FALSE,FALSE,"Site 13","Kirk's dik-dik",TRUE
TRUE,FALSE,"Site 13","Kirk's dik-dik",FALSE
FALSE,FALSE,"Site 13","Kirk's dik-dik",TRUE
FALSE,FALSE,"Site 14","Kirk's dik-dik",TRUE
FALSE,FALSE,"Site 14","Kirk's dik-dik",TRUE
TRUE,FALSE,"Site 14","Kirk's dik-dik",FALSE
FALSE,FALSE,"Site 14","Kirk's dik-dik",TRUE
FALSE,FALSE,"Site 14","Kirk's dik-dik",TRUE
FALSE,FALSE,"Site 14","Kirk's dik-dik",TRUE
FALSE,FALSE,"Site 14","Kirk's dik-dik",TRUE
FALSE,FALSE,"Site 14","Kirk's dik-dik",TRUE
TRUE,FALSE,"Site 14","Kirk's dik-dik",FALSE
TRUE,FALSE,"Site 14","Kirk's dik-dik",FALSE
TRUE,FALSE,"Site 14","Kirk's dik-dik",FALSE
TRUE,FALSE,"Site 14","Kirk's dik-dik",FALSE
TRUE,FALSE,"Site 14","Kirk's dik-dik",FALSE
TRUE,FALSE,"Site 14","Kirk's dik-dik",FALSE
FALSE,FALSE,"Site 14","Kirk's dik-dik",TRUE
FALSE,FALSE,"Site 14","Kirk's dik-dik",TRUE
FALSE,FALSE,"Site 14","Kirk's dik-dik",TRUE
FALSE,FALSE,"Site 14","Kirk's dik-dik",TRUE
FALSE,FALSE,"Site 14","Kirk's dik-dik",TRUE
FALSE,FALSE,"Site 14","Kirk's dik-dik",TRUE
TRUE,FALSE,"Site 14","Kirk's dik-dik",FALSE
TRUE,FALSE,"Site 14","Kirk's dik-dik",FALSE
FALSE,FALSE,"Site 14","Kirk's dik-dik",TRUE
FALSE,FALSE,"Site 14","Kirk's dik-dik",TRUE
FALSE,FALSE,"Site 14","Kirk's dik-dik",TRUE
FALSE,FALSE,"Site 14","Kirk's dik-dik",TRUE
FALSE,FALSE,"Site 14","Kirk's dik-dik",TRUE
TRUE,FALSE,"Site 14","Kirk's dik-dik",FALSE
FALSE,FALSE,"Site 14","Kirk's dik-dik",TRUE
FALSE,FALSE,"Site 14","Kirk's dik-dik",TRUE
FALSE,FALSE,"Site 14","Kirk's dik-dik",TRUE
TRUE,FALSE,"Site 14","Kirk's dik-dik",FALSE
TRUE,FALSE,"Site 14","Kirk's dik-dik",FALSE
TRUE,FALSE,"Site 14","Kirk's dik-dik",FALSE
FALSE,FALSE,"Site 14","Kirk's dik-dik",TRUE
FALSE,FALSE,"Site 14","Kirk's dik-dik",TRUE
FALSE,FALSE,"Site 14","Kirk's dik-dik",TRUE
FALSE,FALSE,"Site 14","Kirk's dik-dik",TRUE
FALSE,FALSE,"Site 14","Kirk's dik-dik",TRUE
FALSE,FALSE,"Site 14","Kirk's dik-dik",TRUE
TRUE,FALSE,"Site 14","Kirk's dik-dik",FALSE
TRUE,FALSE,"Site 14","Kirk's dik-dik",FALSE
FALSE,FALSE,"Site 14","Kirk's dik-dik",TRUE
TRUE,FALSE,"Site 14","Kirk's dik-dik",FALSE
TRUE,FALSE,"Site 14","Kirk's dik-dik",FALSE
TRUE,FALSE,"Site 14","Kirk's dik-dik",FALSE
TRUE,FALSE,"Site 14","Kirk's dik-dik",FALSE
FALSE,FALSE,"Site 14","Kirk's dik-dik",TRUE
TRUE,FALSE,"Site 14","Kirk's dik-dik",FALSE
TRUE,FALSE,"Site 14","Kirk's dik-dik",FALSE
FALSE,FALSE,"Site 14","Kirk's dik-dik",TRUE
TRUE,FALSE,"Site 14","Kirk's dik-dik",FALSE
FALSE,FALSE,"Site 14","Kirk's dik-dik",TRUE
FALSE,FALSE,"Site 14","Kirk's dik-dik",TRUE
FALSE,FALSE,"Site 14","Kirk's dik-dik",TRUE
FALSE,FALSE,"Site 14","Kirk's dik-dik",TRUE
FALSE,FALSE,"Site 14","Kirk's dik-dik",TRUE
FALSE,FALSE,"Site 14","Kirk's dik-dik",TRUE
FALSE,FALSE,"Site 14","Kirk's dik-dik",TRUE
FALSE,FALSE,"Site 14","Kirk's dik-dik",TRUE
FALSE,FALSE,"Site 14","Kirk's dik-dik",TRUE
FALSE,FALSE,"Site 14","Kirk's dik-dik",TRUE
TRUE,FALSE,"Site 15","Kirk's dik-dik",FALSE
FALSE,FALSE,"Site 15","Kirk's dik-dik",TRUE
FALSE,FALSE,"Site 15","Kirk's dik-dik",TRUE
FALSE,FALSE,"Site 15","Kirk's dik-dik",TRUE
FALSE,FALSE,"Site 15","Kirk's dik-dik",TRUE
FALSE,FALSE,"Site 15","Kirk's dik-dik",TRUE
TRUE,FALSE,"Site 15","Kirk's dik-dik",FALSE
TRUE,TRUE,"Site 16","Kirk's dik-dik",FALSE
FALSE,TRUE,"Site 16","Kirk's dik-dik",TRUE
FALSE,TRUE,"Site 16","Kirk's dik-dik",TRUE
FALSE,TRUE,"Site 16","Kirk's dik-dik",TRUE
FALSE,TRUE,"Site 16","Kirk's dik-dik",TRUE
TRUE,TRUE,"Site 16","Kirk's dik-dik",FALSE
